,equal_threshold_00,equal_threshold_01,equal_threshold_02,equal_threshold_03,equal_threshold_04,equal_threshold_05,equal_threshold_06,equal_threshold_07,equal_threshold_08,equal_threshold_09,equal_threshold_10
Beijing,2,2,1,1,1,1,1,1,1,1,1
Tianjin,29,29,29,31,33,34,35,37,36,32,35
Shijiazhuang,33,34,34,32,29,28,29,28,27,29,30
Qinhuangdao,27,26,24,24,21,19,18,16,18,22,21
Baoding,36,37,35,30,30,31,33,32,33,30,32
Taiyuan,40,40,40,40,40,40,39,39,39,39,39
Hohhot,13,12,14,15,15,15,15,13,13,12,9
Shenyang,31,33,33,35,32,33,30,31,32,33,34
Dalian,9,8,7,5,5,6,6,7,8,8,11
Changchun,28,31,32,34,35,37,36,34,34,34,33
Harbin,18,19,23,23,24,27,27,27,28,27,27
Shanghai,32,30,27,26,27,26,26,26,26,26,26
Nanjing,34,32,30,29,31,30,32,33,35,36,31
Suzhou,25,27,31,33,36,35,37,35,31,31,28
Zhenjiang,35,36,37,38,38,38,38,38,38,38,37
Hangzhou,12,13,10,12,12,12,12,12,10,11,12
Ningbo,15,15,16,19,20,21,20,18,17,17,17
Wenzhou,17,16,15,17,17,17,16,17,16,16,14
Hefei,21,23,19,16,16,16,17,19,19,20,23
Fuzhou,4,4,4,4,4,3,3.5,4,5,5,6
Xiamen,3,3,3,3,3,4,3.5,3,3,3,3
Nanchang,19,21,22,20,22,22,22,24,22,21,20
Jinan,14,17,20,22,23,23,21,22,20,19,19
Qingdao,6,5,5,7,9,10,10,11,12,14,16
Zhengzhou,22,18,18,21,18,18,19,20,21,24,22
Wuhan,26,28,26,27,25,25,25,23,24,23,24
Changsha,20,20,17,14,14,14,14,15,14,15,15
Guangzhou,11,10,6,6,6,5,5,5,4,4,4
Shenzhen,1,1,2,2,2,2,2,2,2,2,2
Nanning,30,25,28,28,28,29,28,29,29,28,29
Guilin,39,39,38,37,37,36,34,36,37,37,38
Haikou,7,9,13,13,13,13,11,10,11,10,10
Chongqing,38,38,39,39,39,39,40,40,40,40,40
Chengdu,8,7,11,8,7,7,7,6,6,6,5
Guiyang,10,11,8,11,11,11,13,14,15,13,13
Zunyi,37,35,36,36,34,32,31,30,30,35,36
Kunming,5,6,9,10,10,8,8,9,9,9,8
Xian,24,22,21,18,19,20,24,21,23,25,25
Lanzhou,23,24,25,25,26,24,23,25,25,18,18
Urumqi,16,14,12,9,8,9,9,8,7,7,7
